date,open,high,low,close,volume,amount
2026-05-12,8.92,8.927,8.821,8.862,510398080,4522369241.0
2026-05-13,8.8,9.021,8.8,9.009,515445104,4596156963.0
2026-05-14,9.049,9.049,8.76,8.772,890258803,7900399322.0
2026-05-15,8.76,8.809,8.553,8.612,1313659195,11374703475.0
2026-05-18,8.559,8.696,8.551,8.631,480879098,4146691727.0
2026-05-19,8.613,8.709,8.481,8.703,709789696,6106970936.0
2026-05-20,8.652,8.76,8.626,8.748,506792256,4396844524.0
2026-05-21,8.8,8.887,8.484,8.503,534504910,4673340770.0
2026-05-22,8.553,8.684,8.51,8.658,792937482,6819708732.0
2026-05-25,8.708,8.79,8.619,8.786,608513509,5293352712.0
2026-05-26,8.743,8.769,8.617,8.752,241401903,2098793863.0
2026-05-27,8.74,8.821,8.58,8.614,330242035,2870805061.0
2026-05-28,8.575,8.694,8.506,8.649,332221554,2857894293.0
2026-05-29,8.66,8.681,8.387,8.443,327944724,2791724835.0
2026-06-01,8.434,8.532,8.354,8.37,408369384,3439513885.0
2026-06-02,8.368,8.48,8.238,8.406,458809424,3836822227.0
2026-06-03,8.4,8.565,8.38,8.455,326737654,2771012957.0
2026-06-04,8.371,8.489,8.371,8.448,295929900,2497825120.0
2026-06-05,8.415,8.5,8.314,8.339,432045655,3619954376.0
2026-06-08,8.16,8.233,7.983,8.068,468788369,3809536499.0
2026-06-09,8.12,8.285,8.058,8.27,362274674,2955254201.0
2026-06-10,8.184,8.24,8.078,8.171,279284122,2279194416.0
2026-06-11,8.133,8.192,8.068,8.133,181558049,1474381691.0
2026-06-12,8.297,8.37,8.211,8.242,313357760,2595066377.0
2026-06-15,8.322,8.55,8.312,8.544,776775802,6554819512.0
2026-06-16,8.55,8.668,8.525,8.632,319534963,2749956275.0
2026-06-17,8.602,8.766,8.58,8.763,198642403,1725519090.0
2026-06-18,8.726,8.863,8.722,8.828,252960922,2226241971.0
2026-06-22,8.84,9.01,8.748,9.007,370108740,3279160176.0
2026-06-23,8.98,9.028,8.758,8.815,423346147,3763746479.0
2026-06-24,8.776,8.995,8.756,8.985,282708434,2510299817.0
2026-06-25,8.984,9.087,8.94,9.085,206275576,1860429662.0
2026-06-26,9.006,9.066,8.795,8.861,335195688,2989805863.0
2026-06-29,8.84,8.979,8.734,8.974,284530538,2529001020.0
2026-06-30,8.944,9.203,8.909,9.194,203024921,1843943515.0
2026-07-01,9.201,9.305,9.1,9.18,252069545,2323654883.0
2026-07-02,9.091,9.091,8.813,8.849,414291694,3700248977.0
2026-07-03,8.798,9.014,8.79,8.901,280135216,2493194778.0
2026-07-06,8.93,8.966,8.727,8.81,359963109,3181978902.0
2026-07-07,8.76,8.817,8.613,8.657,277314854,2411702319.0
2026-07-08,8.661,8.713,8.502,8.551,547319350,4704796310.0
2026-07-09,8.562,8.815,8.444,8.804,594252173,5127831973.0
2026-07-10,8.806,8.933,8.661,8.698,435206229,3851476791.0
2026-07-13,8.61,8.636,8.266,8.292,896481229,7517070059.0
2026-07-14,8.293,8.419,8.116,8.413,855502259,7089377081.0
2026-07-15,8.269,8.322,8.113,8.151,345132567,2834423311.0
2026-07-16,8.061,8.158,7.911,7.956,574772368,4606762538.0
2026-07-17,7.915,7.928,7.485,7.505,749802929,5754369790.0
2026-07-20,7.614,7.64,7.226,7.426,1170949174,8720456391.0
2026-07-21,7.423,7.805,7.277,7.792,1186779399,8991652651.0
2026-07-22,7.714,7.887,7.711,7.74,746438721,5831657523.0
2026-07-23,7.741,7.803,7.661,7.737,250147738,1934738436.0
2026-07-24,7.651,7.712,7.541,7.545,340683039,2593796767.0
2026-07-27,7.544,7.739,7.484,7.726,590866128,4519820155.0
2026-07-28,7.608,7.647,7.429,7.463,799075944,6044394242.0
2026-07-29,7.46,7.593,7.342,7.54,701473321,5240945444.0
2026-07-30,7.49,7.557,7.22,7.336,901607123,6639437982.0
2026-07-31,7.6,7.679,7.491,7.5,993636754,7540981109.0
2026-08-03,7.461,7.52,7.417,7.42,299515013,2232636377.0
2026-08-04,7.47,7.665,7.464,7.601,664801376,5034603886.0
2026-08-05,7.6,7.854,7.575,7.815,535909695,4159898996.0
2026-08-06,7.75,7.872,7.723,7.832,593953900,4636333954.0
2026-08-07,7.82,7.993,7.767,7.987,370068852,2926724041.0
2026-08-10,8.002,8.04,7.922,8.037,322227615,2574612658.0
2026-08-11,7.993,8.093,7.959,7.989,219026093,1756496857.0
